12:0:3	 Count 	 Method(Class) 
	 31 	 java.lang.Integer.toString(byte) 
	 32 	 java.lang.Integer.toString(java.lang.String) 
	 18 	 java.lang.Integer.valueOf(java.lang.Integer) 
	 45 	 java.util.HashMap.newNode(java.util.HashMap$Node) 
	 3 	 java.util.HashMap.resize(Ljava.util.HashMap$Node) 
12:0:5	 Count 	 Method(Class) 
	 36 	 java.lang.Integer.toString(byte) 
	 27 	 java.lang.Integer.toString(java.lang.String) 
	 24 	 java.lang.Integer.valueOf(java.lang.Integer) 
	 38 	 java.util.HashMap.newNode(java.util.HashMap$Node) 
	 1 	 java.util.HashMap.resize(Ljava.util.HashMap$Node) 
