samples	 method_name
210	 ParMarkBitMap::mark_obj(HeapWordImpl**, unsigned long)
136	 ParCompactionManager::follow_marking_stacks()
100	 ParallelCompactData::add_obj(HeapWordImpl**, unsigned long)
34	 UpdateOnlyClosure::do_addr(HeapWordImpl**, unsigned long)
32	 void OopOopIterateDispatch<PCIterateMarkAndPushClosure>::Table::oop_oop_iterate<InstanceKlass, unsigned int>(PCIterateMarkAndPushClosure*, oopDesc*, Klass*)
21	 ParMarkBitMap::iterate(ParMarkBitMapClosure*, ParMarkBitMapClosure*, unsigned long, unsigned long, unsigned long) const
14	 ParallelCompactData::calc_new_pointer(HeapWordImpl**, ParCompactionManager*)
12	 ClassLoaderData::oops_do(OopClosure*, int, bool)
11	 Klass::start_of_vtable() const
8	 void OopOopIterateDispatch<PCAdjustPointerClosure>::Table::oop_oop_iterate<InstanceKlass, unsigned int>(PCAdjustPointerClosure*, oopDesc*, Klass*)
